datetime,time,value,type
2025-04-21 12:20:00,12:20:00,8.1,1
2025-04-21 12:21:00,12:21:00,8.1,1
2025-04-21 12:22:00,12:22:00,8.1,1
2025-04-21 12:23:00,12:23:00,8.1,1
2025-04-21 12:24:00,12:24:00,8.1,1
2025-04-21 12:25:00,12:25:00,8.0,1
2025-04-21 12:26:00,12:26:00,8.0,1
2025-04-21 12:29:00,12:29:00,8.2,0
2025-04-21 12:36:00,12:36:00,7.9,1
2025-04-21 12:38:00,12:38:00,7.9,1
2025-04-21 12:39:00,12:39:00,8.0,1
2025-04-21 12:41:00,12:41:00,8.2,1
2025-04-21 12:42:00,12:42:00,8.3,1
2025-04-21 12:43:00,12:43:00,8.6,1
2025-04-21 12:44:00,12:44:00,8.6,0
2025-04-21 12:45:00,12:45:00,9.0,1
2025-04-21 12:46:00,12:46:00,9.3,1
2025-04-21 12:57:00,12:57:00,7.8,1
2025-04-21 12:59:00,12:59:00,8.3,0
2025-04-21 13:04:00,13:04:00,7.3,1
2025-04-21 13:05:00,13:05:00,7.3,1
2025-04-21 13:05:00,13:05:00,7.0,1
2025-04-21 13:10:00,13:10:00,8.3,1
2025-04-21 13:11:00,13:11:00,8.2,1
2025-04-21 13:13:00,13:13:00,8.1,1
2025-04-21 13:15:00,13:15:00,7.6,0
2025-04-21 13:21:00,13:21:00,7.4,1
2025-04-21 13:22:00,13:22:00,7.4,1
2025-04-21 13:22:00,13:22:00,7.3,1
2025-04-21 13:23:00,13:23:00,7.2,1
2025-04-21 13:24:00,13:24:00,7.0,1
2025-04-21 13:25:00,13:25:00,6.9,1
2025-04-21 13:26:00,13:26:00,6.9,1
2025-04-21 13:28:00,13:28:00,6.8,1
2025-04-21 13:29:00,13:29:00,6.8,1
2025-04-21 13:29:00,13:29:00,6.8,1
2025-04-21 13:30:00,13:30:00,7.2,0
2025-04-21 13:31:00,13:31:00,6.8,1
2025-04-21 13:32:00,13:32:00,6.8,1
2025-04-21 13:33:00,13:33:00,6.8,1
2025-04-21 13:34:00,13:34:00,6.8,1
2025-04-21 13:35:00,13:35:00,6.8,1
2025-04-21 13:36:00,13:36:00,6.9,1
2025-04-21 13:37:00,13:37:00,6.9,1
2025-04-21 13:39:00,13:39:00,7.1,1
2025-04-21 13:39:00,13:39:00,7.1,1
2025-04-21 13:40:00,13:40:00,7.2,1
2025-04-21 13:41:00,13:41:00,7.3,1
2025-04-21 13:42:00,13:42:00,7.4,1
2025-04-21 13:43:00,13:43:00,7.6,1
2025-04-21 13:44:00,13:44:00,7.6,1
2025-04-21 13:45:00,13:45:00,7.7,1
2025-04-21 13:45:00,13:45:00,7.9,0
2025-04-21 13:46:00,13:46:00,7.7,1
2025-04-21 13:47:00,13:47:00,8.0,1
2025-04-21 13:48:00,13:48:00,8.2,1
2025-04-21 13:49:00,13:49:00,8.4,1
2025-04-21 13:50:00,13:50:00,8.6,1
2025-04-21 13:52:00,13:52:00,8.7,1
2025-04-21 13:54:00,13:54:00,8.8,1
2025-04-21 13:55:00,13:55:00,8.9,1
2025-04-21 13:56:00,13:56:00,8.9,1
2025-04-21 13:57:00,13:57:00,8.9,1
2025-04-21 13:58:00,13:58:00,8.8,1
2025-04-21 14:00:00,14:00:00,8.8,0
2025-04-21 14:01:00,14:01:00,8.9,1
2025-04-21 14:07:00,14:07:00,8.9,1
2025-04-21 14:11:00,14:11:00,8.9,1
2025-04-21 14:11:00,14:11:00,8.9,1
2025-04-21 14:15:00,14:15:00,8.8,0
2025-04-21 14:17:00,14:17:00,8.9,1
2025-04-21 14:18:00,14:18:00,8.8,1
2025-04-21 14:27:00,14:27:00,8.9,1
2025-04-21 14:28:00,14:28:00,8.8,1
2025-04-21 14:28:00,14:28:00,8.8,1
2025-04-21 14:29:00,14:29:00,8.8,1
2025-04-21 14:30:00,14:30:00,8.3,0
2025-04-21 14:30:00,14:30:00,8.8,1
2025-04-21 14:30:00,14:30:00,8.8,1
2025-04-21 14:34:00,14:34:00,8.2,1
2025-04-21 14:35:00,14:35:00,8.2,1
2025-04-21 14:36:00,14:36:00,8.1,1
2025-04-21 14:41:00,14:41:00,8.0,1
2025-04-21 14:45:00,14:45:00,7.7,0
2025-04-21 14:51:00,14:51:00,8.5,1
2025-04-21 14:52:00,14:52:00,8.1,1
2025-04-21 14:56:00,14:56:00,7.0,1
2025-04-21 14:59:00,14:59:00,6.1,1
2025-04-21 15:00:00,15:00:00,6.9,0
2025-04-21 15:06:00,15:06:00,6.9,1
2025-04-21 15:07:00,15:07:00,6.9,1
2025-04-21 15:07:00,15:07:00,7.0,1
2025-04-21 15:08:00,15:08:00,7.0,1
2025-04-21 15:12:00,15:12:00,7.2,1
2025-04-21 15:13:00,15:13:00,7.1,1
2025-04-21 15:14:00,15:14:00,6.9,1
2025-04-21 15:15:00,15:15:00,6.7,1
2025-04-21 15:16:00,15:16:00,6.5,1
2025-04-21 15:16:00,15:16:00,6.6,0
2025-04-21 15:17:00,15:17:00,6.4,1
2025-04-21 15:18:00,15:18:00,6.3,1
2025-04-21 15:19:00,15:19:00,6.2,1
2025-04-21 15:20:00,15:20:00,6.2,1
2025-04-21 15:21:00,15:21:00,6.1,1
2025-04-21 15:24:00,15:24:00,6.1,1
2025-04-21 15:25:00,15:25:00,6.1,1
2025-04-21 15:31:00,15:31:00,6.3,0
2025-04-21 15:31:00,15:31:00,5.9,1
2025-04-21 15:40:00,15:40:00,6.2,1
2025-04-21 15:41:00,15:41:00,6.1,1
2025-04-21 15:41:00,15:41:00,6.1,1
2025-04-21 15:46:00,15:46:00,6.0,0
2025-04-21 15:50:00,15:50:00,5.7,1
2025-04-21 15:51:00,15:51:00,5.7,1
2025-04-21 15:52:00,15:52:00,5.7,1
